식품명,평균잔반량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),비타민 C(mg),비타민 D(μg)
오이부추무침,45,26,0.9,0.35,5.68,2.62,1.3,11,0.47,22,111,206,24,3.31,0
오이생채,23,50,1.44,1.34,7.97,5.84,2.1,58,0.46,42,231,404,,0.37,0
오이소박이,8.764705882,37,1.76,0.37,6.66,3.17,3.1,29,0.57,40,283,302,56,0.89,0
오이지무침,41,45,1.1,1.35,8.12,3.79,2.2,37,0.48,23,127,1083,22,0.09,0
오징어무침,44.21595598,83,9.7,1.49,8.03,4.92,1.6,28,0.36,156,363,191,64,4.59,2.81
오징어튀김,11.77834525,163,12.2,7.58,9.96,0.01,0.3,17,0.37,193,216,200,10,0.01,3.32
옥수수밥,20.93617021,113,2.1,0.34,24.39,0.25,0.6,2,0.09,33,33,4,0,0.14,0
완두콩밥,39,114,2.2,0.33,24.47,0.14,0.7,3,0.12,35,36,1,1,0.26,0
완자전,11.41551724,320,11,23.11,15.75,0.52,4.1,68,2.27,161,267,162,40,0.01,0.26
유채나물,53.14705882,50,4.4,2.12,5.6,0.8,3.8,177,1.55,80,451,472,234,59.23,0
육개장,118.9714286,47,3,3.14,1.58,0.32,0.9,30,0.47,38,101,331,22,2.8,0.04
임연수구이,77,198,21.52,11.76,1.4,0,0.4,107,0,302,384,628,16,0.28,
자장면,32.2795389,123,3.04,3.13,20.56,1.2,3.3,13,0,31,71,368,1,0,
잡곡밥,38.30508475,131,3.1,0.7,27.13,0.31,1.4,7,0.31,49,74,1,0,0.1,0
잡채,60.47142857,146,4.71,3.3,24.26,0.73,3.7,36,1.65,61,201,360,35,0,0
재첩국,108.5170213,23,0.67,0.29,4.54,0,0.1,20,0.72,6,22,126,1,0.18,0
절편,49.875,197,3.82,0.8,43.58,0.08,1.2,16,0.34,46,29,258,,0.35,0
제육볶음,45.3125,103,10.2,4.43,5.33,2.5,0.8,10,0.48,101,228,235,33,1.8,0.28
짜장면,145.15,98,3.8,1.2,19.22,1.47,2,12,0.28,37,157,277,9,1.95,0.02
짜장밥,80.42334096,93,2.85,1.94,15.58,2.14,1.1,11,0.36,36,87,180,7,2.31,0.07
쫄면,289,107,2.79,0.98,21.6,4.06,1.2,15,0.32,33,109,514,32,1.73,0.01
차조밥,16.57939422,120,2.3,0.4,25.66,0.17,0.8,3,0.15,38,34,1,0,0,0
청국장찌개,88.98271605,45,4,1.01,4.91,0.95,2.3,35,1.08,70,209,293,7,1.42,0.01
총각김치,9.257694629,42,1.92,0.29,7.89,3,2.4,38,0.52,44,331,630,14,3.49,0
치즈볼,111,333,9.56,20,28.66,5.48,0.3,153,0.41,286,84,532,,0.24,0
카레라이스,176,108,3.11,1.4,20.74,0.16,0.5,12,0.3,35,91,210,13,3.16,0
콘치즈구이,26.16666667,224,9.51,12.85,17.56,7.31,0.5,266,0.38,212,136,313,,0.4,0
콩나물국,85.18867925,7,0.8,0.2,0.97,0.14,0.4,10,0.16,17,74,184,1,0.4,0
콩나물무침,30.32608696,19,1.6,1.15,1.45,0.12,0.6,19,0.26,31,76,138,1,0.69,0
콩나물잡채,145,43,2.2,2.49,4.04,1.97,1,26,0.38,45,130,121,29,1.45,0
콩비지찌개,205,39,3.02,1.06,4.46,0.69,2.9,32,0.88,36,150,196,6,1.41,0.04
크로와상,0.507122507,446,7.52,26.98,43.31,6.1,2.3,37,0.8,133,111,457,17,0,0
